,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
100206,22284,19517,21810,25200,5721,5379,32024,32834,3757,3391,6697,8964,15586,11428,8774,8884,6458,8738,12274,12909,1698,1852,19639,13385,4937,5608,5127,4490,13212,11621,9274,9399,13487,14279,3589,2533,6431,6687,6348,7589,1557,1780,16283,13734,10416,10310,14978,16478,8032,9147,18963,14911,4658,5996,16245,17344,24656,22466,12810,10423,16535,8501,7643,13557,7480,11528,22547,19930,6154,3473,6530,7111,7941,8510,2285,2188,7952,7992,1480,1517,15590,20481,7006,5619,30444,29467,4752,5415,18807,20647,14026,13683,8753,7804,745,1260,7508,6073,12962,13078,2952,2298,12077,13341,6330,5832,531,433,182,856,3819,2510,1252,1853,1336,555
100307,23520,20506,23770,25275,6128,4514,32543,32274,4454,2289,7334,9273,17540,12516,7631,6882,7296,9017,12185,16003,1770,2069,21019,16026,5222,5919,5161,4296,13831,12968,10679,10123,13691,15973,3526,2615,6333,7016,6923,8214,1696,1833,15240,13591,10795,9614,15057,15874,9090,9321,21511,14358,5833,6076,17806,18420,24413,22366,11841,9426,17109,8768,8351,13128,7302,11896,21357,21337,8250,5456,7596,7635,7942,8504,2285,2188,8655,8311,1721,1796,17093,21488,8934,6409,32175,30242,5086,5616,20945,23234,18170,17763,11052,11180,932,1421,7978,6278,13161,13474,3357,2680,11175,12513,6535,5795,824,828,268,1257,4398,2686,1403,1597,1345,591
100408,22179,20288,22323,24596,5452,5657,32072,31540,5421,5554,5721,7761,14347,10735,7236,6991,5754,7990,11050,12574,924,746,18503,12789,5259,5601,5234,3689,11271,9616,9702,9979,13239,15316,3574,2595,6736,7152,5454,6456,1723,1824,13434,13612,9606,9418,14474,15714,7750,8116,19424,13117,5499,5760,14770,15901,22371,21067,11166,7012,17866,8388,9036,12695,8638,11602,20987,18513,7853,4977,7215,7578,7799,8482,2281,2169,8544,8358,1692,1686,16451,19949,6548,5744,32207,29810,3687,4313,18724,20817,14905,14626,9932,10028,554,962,7009,5609,12712,12949,3438,2932,12737,16795,6030,5311,235,415,115,767,3552,2408,1199,1822,1263,136
100610,20696,19748,23038,26497,5723,5772,30550,31023,5264,4017,6380,8571,15392,11247,9525,8552,6702,8664,12861,16105,2019,2096,19798,14300,5432,5812,5924,4801,14090,12253,10318,9749,13848,16251,3028,2035,6691,6960,7388,8446,1676,1847,15697,13194,10960,10108,15156,15837,7876,8416,19383,13515,5046,5677,17878,18845,23938,21764,12276,10926,16910,8867,9315,12985,8650,12447,22891,21551,8701,5556,7580,7693,7942,8510,2280,2188,8480,8245,1566,1641,16167,21163,7596,6150,33097,29830,3983,5452,21466,23030,16639,16398,8387,8534,483,734,6902,5632,12682,13351,2716,2378,11341,13879,5594,5434,344,467,77,669,2877,2260,990,1611,1285,457
101006,22415,20497,21781,24231,4679,4655,31367,32100,4491,4347,6602,9019,15853,12419,8788,8085,7195,8852,11079,14687,2011,1955,17026,13153,5018,6064,5092,4239,12860,11669,9940,9329,14383,15688,3430,2404,6745,6100,6883,8247,1645,1850,14804,13256,11210,10448,14385,14944,8991,8724,19573,12486,5093,4950,17313,18510,24867,22781,12388,10265,17298,9306,9137,14253,7279,11455,23132,21172,8014,4907,7552,7682,7942,8510,2285,2188,8685,8352,1544,1542,16303,21101,7412,4674,30865,28695,4459,4546,19581,20703,16313,16302,9633,10400,682,907,6653,5261,12771,13127,3392,2907,13139,16307,5497,4621,468,268,217,698,3352,2302,1152,1652,1119,198
101107,22935,21524,23363,26196,5121,4986,32994,35724,5132,3496,7154,8447,18088,12968,11281,10073,7079,8473,13610,15341,2199,2165,16737,14244,5121,6211,5161,4039,14030,11968,10448,9861,14014,15664,3516,2382,6908,6827,6651,8085,1686,1826,15762,13895,10245,10095,15410,16394,8289,9591,21087,14762,6755,6778,17011,18388,24809,24443,11417,10882,16700,9121,8681,14083,8125,12269,23928,21859,8218,5465,7478,7559,7936,8510,2285,2188,8660,8290,1631,1471,16710,20757,8646,6108,32837,29492,5217,5469,19093,22682,15992,16124,8944,9172,796,1019,7498,5905,13064,13432,2685,2316,10204,12908,6363,6039,283,503,250,1018,3938,2685,1483,1914,1356,396
101309,23876,22513,25773,28719,6218,6370,35493,34882,6223,6776,6454,8501,14925,11568,9316,9212,6925,8238,15574,17788,2026,1965,20352,14948,4684,6184,4605,4359,13501,12938,10535,10147,15099,16752,3708,2643,6981,6875,7498,8412,1721,1887,16613,14103,10832,10754,15930,17349,7924,9279,20327,13364,5889,6025,17158,19794,26915,25102,12137,12456,18838,10442,9106,14339,9125,13199,25759,23883,9757,6164,7613,7543,7939,8497,2285,2181,8700,8397,1676,1756,16496,20253,6669,5069,33536,29709,4201,5092,21070,24459,15497,16528,9061,8975,881,1067,8097,6085,13289,13324,3054,2224,11808,13703,5610,4945,493,522,248,1185,3810,2436,1231,1922,1337,364
101410,23759,22232,24445,27533,5380,5990,32255,34110,3942,4470,7472,9294,16863,12450,8976,9421,6763,8755,14460,15084,2020,2065,20084,14581,5319,5943,5795,4671,12635,11111,10056,9839,13758,15610,3698,2627,6272,6793,7495,8578,1703,1927,16082,14030,10972,10672,15498,16747,8618,9665,20644,15280,6110,6805,17528,18530,24300,24300,12570,10891,17634,9563,9287,13934,8062,12293,23647,22982,8769,5350,7142,7493,7898,8468,2285,2169,8530,8283,1756,1827,17276,21691,8977,8339,35065,30471,5583,7533,20021,22089,15455,15526,9199,8361,635,1071,6640,5772,12209,12739,2818,2077,11832,14114,6427,6160,472,400,300,836,3575,2283,1038,1926,1339,470
101915,23860,21787,22475,25455,5203,5681,33316,34447,4714,4742,7257,9001,17709,13288,10515,9589,6932,8669,12169,15035,2042,2140,18067,14067,4595,5538,4786,4412,13974,12505,10213,10168,14370,16507,3638,2537,7141,7371,7193,8156,1711,1845,15402,13815,10789,10487,14971,16050,9053,10297,22336,15674,6779,7089,16797,18546,23536,21926,11152,9709,18005,9138,8224,12745,8009,12015,22014,20920,7774,4306,7497,7844,7926,8510,2285,2188,8520,8279,1732,1897,17191,21375,7533,5912,33728,29962,4466,5098,18010,19573,16439,16476,8486,9113,722,1059,7470,6079,12958,13302,3329,2519,13584,15206,6614,5848,561,572,197,1119,3987,2454,1236,1786,1317,643
102008,24194,21215,23597,25676,6063,6366,34226,34105,4768,4744,6289,8530,17038,12212,9838,10504,6896,8521,11700,15346,2033,2180,17208,13286,4947,5512,5305,4778,13335,12038,9699,9702,14062,15584,3571,2484,6857,7061,6733,8165,1659,1798,14977,13583,10869,9758,15282,16558,8864,9213,22495,14947,6735,6727,16783,17511,24493,21237,10694,8468,17924,9658,8637,12796,8289,12646,22626,20982,8177,5125,7192,7370,7941,8503,2285,2173,8526,8259,1744,1595,16625,20562,7827,6458,32678,30032,4448,4345,19809,21548,15173,15554,6077,8600,879,1122,7532,6064,12443,12714,2909,2222,12378,13825,6741,6096,801,890,252,1009,3629,2051,491,1620,1362,484
102109,23686,21412,24174,26396,6329,6445,34170,34373,5748,5889,7370,9264,17601,13070,9607,7573,6229,8801,13925,15734,2178,2196,18558,13203,4843,5672,5379,4822,13322,12432,9968,9932,13726,15264,3632,2497,6959,7109,6888,8011,1715,1785,15769,13498,10339,9693,15377,16148,7114,8382,19584,12523,6123,6028,16972,18372,26112,23799,13082,11989,17999,9380,9210,13880,8556,12416,25428,23490,8911,5445,7329,7341,7941,8510,2285,2188,8686,8313,1445,1456,16282,18178,5295,3910,28358,26147,1811,2204,17086,18164,14073,13217,5398,5391,924,1105,7069,5773,12967,13061,2218,1499,11816,13866,6684,6133,545,564,262,960,3551,2523,1220,1887,1364,631
